Design Vehicle Descriptions
Agricultural machinery
Special trucks such as long load Logging Trucks and Long Combination Vehicles (LCV's)
Recreational Vehicles (RV's) and towed recreational trailers
"Industrial Equipment, including quarrying, sand & gravel, mining"
